userName,score,content,at,thumbsUpCount,source,truthLabel,score_based,rule_based,final_label,final_label_3class,vader_prediction,afinn_score,afinn_prediction
Jo Carbonell,1,order window tint two week ago still nothing guess delivery person wanted package decided not fill order keep moneywhy think thing cheap advertisingthey keep money,2026-03-11 17:23:22,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Neutral,0,Neutral
Liam Schrape,1,buyer beware bought leg style brick building kit son time purchase finally started working quality poor even adult assistance toy would fall apart slightest movement even trying add next piece model aliexpress seller mi a toyneither take responsibility make goodwill refund credit moral story check purchase quality quickly receive,2026-03-09 07:04:42,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
Kandis Nikol Marek (BATMAN),2,all making pp like them dont much like can order want that dont need anymore apes like them them suck dont them,2026-03-07 18:30:10,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,0,Neutral
Mairaj Aslam,2,high tax pp without tax disappointed,2026-03-07 20:22:13,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,-2,Negative
Adam,1,paid 3 up deal delivery driver put bin without notice refused up can get anything in asking get bundledeal back,2026-03-07 15:29:54,0,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral,Neutral,Positive,-2,Negative
Lio B10,1,3 package never received arrived wrong city no one answered 4 mail sent back no refund aliexpress take no responsibility never order,2026-03-11 21:57:21,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,2,Positive
Ti to,5,شكرا لجهودكم,2026-03-10 23:33:12,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative,Negative,Neutral,0,Neutral
See Ro,5,lamp è meravigliosa vogliamo di novo per naevi tent lofferta del 099 pure 3 article con 3 di discount,2026-03-12 07:21:47,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,0,Neutral
Charles Jenkins,5,like pp give couple day better survey,2026-03-12 20:00:07,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,4,Positive
Benjamin Van Dermark,1,3 item welcome gift get 3 pay 1 got canceled late dont get thing ordered lost welcome deal,2026-03-09 23:32:33,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,2,Positive
Patryk,4,na strange z punktami pokazują sir loose zniżki których lie da sir uzyskać mon utrudnia zakupy edit okazało sir he procentowa aniska book products uwzględnia ten upon zniżkowy lie talk unity naval uważam he lie powinno take by to jest iron punt book zniżki,2026-03-10 12:11:14,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative,Negative,Negative,-4,Negative
Promise Abumere,1,slammed aliexpress seller accept partial refund defective item yet aliexpress refused no refund complete led screen purchase fame doesn fit pouch doesn touch well followed instruction fix not case complaining overhearing frame side heat sink frame small unlike original screen part not touch try another screen different screen order worked,2026-03-10 20:18:45,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,1,Positive
Billy Pierce,1,no good,2026-03-07 20:57:37,0,labeled_reviews_raw,Negative,Negative,Positive,Negative,Negative,Positive,-3,Negative
J R,3,great thing cheap thing suck delivery live building leave lobby floor anyone take not front door,2026-03-07 16:47:47,0,labeled_reviews_raw,Negative,Neutral,Neutral,Neutral,Neutral,Positive,-3,Negative
GTepanator,1,pp kept sending one star trouble,2026-03-10 12:59:45,1,labeled_reviews_raw,Positive,Negative,Neutral,Positive,Positive,Negative,-2,Negative
Falodun Akinwale,4,nice appear good genuine product vendor good,2026-03-12 19:48:10,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,9,Positive
Nyanda,2,people summer buy something come bulk one like turquoise ring come one size mix come 2030pcs not received dont show mysteriously blame carrier item bought single item set oh show fine no problem dont want refund back anything not honest godly people facade sale product,2026-03-12 18:47:06,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,5,Positive
D Bier,1,absolute garage dint suggest pp make purchase 50 stolen lose money time vanity no customer service there even less low quality item tried get refund stolen package 5 time said prove one prove shook person hand met pp stupid painless go them,2026-03-11 13:52:46,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-6,Negative
Davnar Ragnar,1,pp either broken designed deliberately deceive customer spent time building bundle checked list went ahead purchase find item disappeared leaving 10 poorer quality item purchase price given 20 item no way trace transaction see itemised receipt purchase must deal ali express via webster secure brother not install pp,2026-03-08 02:01:10,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-5,Negative
Steven Brookshire,2,item purchased came expected great price not get two free item first time buyer never came delete cart promise never fulfilled unsatisfied main reason even started needed item going get bag also liked,2026-03-09 08:32:36,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,5,Positive
Rahl Gadu,5,למה of of מוריד of ניסיתי of 24 שאות אפילו יתמול,2026-03-12 16:48:37,0,labeled_reviews_raw,Negative,Positive,Neutral,Negative,Negative,Neutral,0,Neutral
Tammy Skifstad,5,useful,2026-03-11 03:40:25,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,2,Positive
Irina kalpacka,5,страхотно,2026-03-07 21:45:13,0,labeled_reviews_raw,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,0,Neutral
Eric Thomas,5,great pp easy use discount applied automatically fast shipping local store even faster delivery,2026-03-09 05:17:33,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,4,Positive
Pedram Rezaeian,1,pp fraud snatched price approved 38 end 48 shipping time take age charging 10 tax well third time definitely last time ordered something pp ill make sure nobody else know make mistake reliable unworthy time misleading price meanwhile put quality aside,2026-03-08 04:15:44,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-11,Negative
Simon Jewry,1,rubbish scar pp get burnt didn want give one star not able seems stupid no star,2026-03-07 16:13:24,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,3,Positive
Coems,1,ordered charge waited 10 day arrived county order unsucesfull,2026-03-11 08:54:13,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Neutral,0,Neutral
Ammar M.Ahmad,5,nice pp,2026-03-11 16:56:04,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Michael M,1,horrible pp customer service,2026-03-10 01:08:04,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
Adina L,5,many item see different vendor sure read product review use common sense find great item thing not work like expected customer service help amazing,2026-03-11 21:55:53,1,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,7,Positive
Mellissa Cecil,5,fast shipping great product,2026-03-07 03:25:27,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Matas Matas,5,good pp in not going lie found garage item could explode easily,2026-03-11 13:54:08,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,3,Positive
Christopher Atkin,5,thought going like wish them make wild claim free stuff discount buck widest thing happened though telling truth agent making extravagant claim like others one making honor whole family ordering long shipping time downside not even enough knock star tell advance long take,2026-03-11 23:56:47,0,labeled_reviews_raw,Positive,Positive,Negative,Positive,Positive,Positive,6,Positive
Enrique El Sato de Hato Rey,2,prefer webster pp buggy doesn offer much,2026-03-10 13:31:02,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Neutral,0,Neutral
Joni Shkembi,1,high price selling diamond,2026-03-12 13:05:50,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,1,Positive
tjan putri,1,honestly haven experience pp couldn use live indonesia download shopping pp saw cut bag pp opened need choose country region live right searched country indonesia saw neighbouring country malasha couldn experience full shopping experience hope could add indonesia pp please,2026-03-11 15:12:44,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,2,Positive
Karel Zegers,3,mostly good advertising behaviour seller pretty bad advertising product price actually ordered change much higher cost example mitutoyo digimatic merrier memory card seller others no response query request explanation shady behaviour not well dealt aliexpress complained disappointing otherwise good site,2026-03-08 07:27:35,0,labeled_reviews_raw,Negative,Neutral,Negative,Negative,Negative,Negative,0,Neutral
Chris Diera,1,gave broken mess toy black suit action figure,2026-03-07 06:42:54,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-3,Negative
Chris Smith,1,installed 12 form payment couldn go,2026-03-09 09:57:23,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Neutral,0,Neutral
Paris Tunc,1,crime gang,2026-03-12 04:52:53,0,labeled_reviews_raw,Neutral,Negative,Neutral,Neutral,Neutral,Negative,-3,Negative
Philip Brady,5,really positive 95 the vendor,2026-03-08 10:33:57,0,labeled_reviews_raw,Positive,Positive,Neutral,Positive,Positive,Positive,2,Positive
Trevor Thornborough,3,complicated device system follow time annoying part contact repeatitive failing including immediately straight finished ordering get good there trying encourage purchase damn annoying,2026-03-07 05:47:56,0,labeled_reviews_raw,Negative,Neutral,Positive,Negative,Negative,Negative,-4,Negative
Nunya Biz,5,apparently set setting ratification turn specific one hate slammed company ignores dont need notified 5 time day think need know fingernail slipper sale stop,2026-03-12 22:42:39,4,labeled_reviews_raw,Negative,Positive,Negative,Negative,Negative,Negative,-5,Negative
Dontae Hufflin,5,awesome service never single issue send advertised every single time can beat price product them wish nothing aliexpress,2026-03-11 21:14:59,0,labeled_reviews_raw,Positive,Positive,Negative,Positive,Positive,Positive,5,Positive
Colin Crowley,1,shortest pp service ask photo bank card id illegal au closed,2026-03-08 16:37:29,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Negative,-3,Negative
Hard Catz,1,worst experience try purchase apostle transaction obey played split tabbythe big big problem delivered waiting almost months chat courier no codethey mark delivered dont received anything try contact sellerand ask arefundthey refusethey said show deliveredthe big question purchase february i paid february but cracking number bought january how come,2026-03-09 08:34:06,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
CRO stress,1,support total joke suggest use pp one edit trying contact support 2 open case getting robotic answer 20 time nobody read anything total joke avoid aliexpress,2026-03-08 14:39:18,0,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,7,Positive
Katelyn Selvaggio,2,bought pair earbuds charge completely broken dont work also bought stuff arrived broken unable,2026-03-10 02:58:21,2,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-2,Negative
David GIlmore,5,excellent,2026-03-10 06:11:11,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Eric Malcomb,1,nightmare deal placed order saw shipped colorado tried track said didn order even though confirmed papal first email got back said found order able track want contact customer service tell order doesn exist account use different one ever one account wont give refund,2026-03-09 18:29:16,1,labeled_reviews_raw,Negative,Negative,Neutral,Negative,Negative,Positive,1,Positive
Keno Ken,1,worst customer service world keep repeating answer ignoring customer completely also allow many counterfeit fraudulent item like to thumb drive 5 dont refuse take obvious scar seem encourage zero care user,2026-03-10 15:46:49,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,2,Positive
King Cardigan,4,terrible experience z fold samson device pp cool fold well say confusing confusing can not describe except look like two aliexpress apes running side side dont know one use annoying,2026-03-11 02:26:43,0,labeled_reviews_raw,Negative,Positive,Negative,Negative,Negative,Negative,-6,Negative
A Mamun,1,full fraud scar seller essaying never comfortable always mixed promotion message,2026-03-09 15:39:22,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-6,Negative
Mark Santiago,1,useless pp especially help center order not ship,2026-03-07 01:53:16,1,labeled_reviews_raw,Positive,Negative,Negative,Negative,Negative,Neutral,0,Neutral
Candy Biehle,1,never got stuff paid watch daughter jerrika kid cup cap head passed please fix problem,2026-03-12 14:12:58,0,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-1,Negative
Muhammadu Abubakar abdu,5,good pp order thing,2026-03-07 09:49:17,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,3,Positive
Kimberly Dumas,1,sell credit card number,2026-03-11 04:25:58,0,labeled_reviews_raw,Positive,Negative,Neutral,Positive,Positive,Positive,0,Neutral
Meyola chudasama,1,order stuff st time customer never received tried get refund also impossible well never use pp shop,2026-03-10 01:16:48,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,0,Neutral
Karl Carroll,3,need pp track package can online brother exactly,2026-03-12 18:00:39,0,labeled_reviews_raw,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,Neutral
Phil,1,trying get simple refund something clearly not going delivered ordered long time ago instead simply defending money less 3 getting big runaround stupid little not not refund money least think wont time in finished aliexpress there going wish refused,2026-03-10 11:37:23,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Negative,-1,Negative
Andy Nisbet,1,passively reduce painless animation nobody want there not necessary make using pp endurance rather enjoyment,2026-03-07 18:45:13,1,labeled_reviews_raw,Negative,Negative,Negative,Negative,Negative,Positive,-2,Negative
Tia Cummings,5,great pp love,2026-03-10 04:53:59,0,labeled_reviews_raw,Positive,Positive,Positive,Positive,Positive,Positive,6,Positive
